CNPJ,TotCompras,percenTotal,NumCompras,Percentual
12360891000176,474946.970,4.067,26,0.392
15116388000168,367559.080,3.148,23,0.347
12434859000198,362693.840,3.106,136,2.052
29840154000173,300708.010,2.575,72,1.086
19068286000175,287622.970,2.463,69,1.041
17339293000139,216302.260,1.852,142,2.143
39508023000228,179723.790,1.539,54,0.815
27833615001984,160547.140,1.375,48,0.724
5565335000170,153918.480,1.318,67,1.011
9653290000147,153882.330,1.318,47,0.709
27833615001801,137814.020,1.180,51,0.770
18749311000113,134644.110,1.153,46,0.694
27833615001712,133271.820,1.141,67,1.011
12427914000112,129072.490,1.105,13,0.196
22536813000133,128012.700,1.096,115,1.735
11631749000153,125417.370,1.074,37,0.558
35824374000106,125304.900,1.073,26,0.392
7652822000104,120359.910,1.031,37,0.558
12968606000102,120101.760,1.028,63,0.951
5252826000161,118690.210,1.016,32,0.483
5256321000175,114072.090,0.977,39,0.589
11761060000143,113164.150,0.969,44,0.664
27833615001399,112466.820,0.963,46,0.694
73915597000259,112072.840,0.960,34,0.513
27833615002018,104621.590,0.896,64,0.966
23352716000153,101199.730,0.867,32,0.483
5054332000172,98474.130,0.843,39,0.589
9642314000162,98283.240,0.842,52,0.785
8109307000137,96679.640,0.828,21,0.317
12027650000100,96138.430,0.823,21,0.317
27833615003090,90052.900,0.771,42,0.634
27833615002603,89755.290,0.769,34,0.513
27833615002107,89666.240,0.768,47,0.709
40169278000101,88947.820,0.762,52,0.785
13051981000148,86388.260,0.740,38,0.573
31503576000103,80519.240,0.690,19,0.287
32336794000317,78390.080,0.671,36,0.543
7258484000112,77896.620,0.667,34,0.513
13126932000208,75303.380,0.645,62,0.936
27833615001208,75010.420,0.642,41,0.619
27833615002522,72443.400,0.620,42,0.634
22546657000191,71739.770,0.614,46,0.694
11670482000103,71068.020,0.609,40,0.604
1015564000160,70625.020,0.605,9,0.136
13404646000186,69852.090,0.598,49,0.739
27833615003170,63357.570,0.543,24,0.362
14304366000169,62640.620,0.536,38,0.573
1190829000167,59986.740,0.514,17,0.257
18869111000102,59168.390,0.507,28,0.423
72392434000195,58681.630,0.503,28,0.423
11714688000198,58627.270,0.502,44,0.664
27833615003251,58197.540,0.498,26,0.392
39233184000175,56271.230,0.482,40,0.604
1446960000142,56305.320,0.482,37,0.558
19897866000175,55664.130,0.477,7,0.106
8472686000206,53093.320,0.455,23,0.347
13126932000127,52350.330,0.448,51,0.770
17682396000105,52000.000,0.445,3,0.045
9097655000102,50617.750,0.433,61,0.920
27833615000155,49500.000,0.424,4,0.060
11761060000224,49171.000,0.421,31,0.468
20259672000123,49081.850,0.420,52,0.785
73915597000178,46103.560,0.395,23,0.347
23844708000124,45085.940,0.386,20,0.302
27833615002956,44938.080,0.385,29,0.438
23329763000186,44443.360,0.381,24,0.362
27833615002875,43796.570,0.375,28,0.423
12968606000366,43072.400,0.369,37,0.558
21127646000104,42633.410,0.365,22,0.332
18459162000239,41857.400,0.358,23,0.347
21071655000120,39786.730,0.341,28,0.423
27654565000149,38244.430,0.327,18,0.272
21229586000130,36672.370,0.314,32,0.483
7577743000178,36531.310,0.313,24,0.362
27849764000102,36487.700,0.312,17,0.257
15322994000130,36180.960,0.310,20,0.302
7676699000153,35913.030,0.308,17,0.257
17279185000118,35644.950,0.305,28,0.423
10834199000298,35561.610,0.305,26,0.392
12769662000290,35533.110,0.304,28,0.423
4904985000130,35273.440,0.302,24,0.362
12968606000285,35219.470,0.302,36,0.543
11032546000140,34496.180,0.295,19,0.287
15471879000127,33891.370,0.290,31,0.468
36426237000186,33420.910,0.286,17,0.257
13537908000180,33402.110,0.286,33,0.498
26061062000105,32808.740,0.281,25,0.377
7615641000108,32136.440,0.275,17,0.257
11631749000315,31604.900,0.271,11,0.166
21585994000125,31493.020,0.270,33,0.498
17461628000197,31335.770,0.268,18,0.272
26298958000102,31227.620,0.267,41,0.619
21355757000178,31010.100,0.266,24,0.362
19137307000167,30731.600,0.263,41,0.619
23768895000104,30757.370,0.263,23,0.347
8145755000196,30405.050,0.260,12,0.181
2068929000188,30302.080,0.259,26,0.392
32336794000740,29724.060,0.255,23,0.347
32336794001046,28955.430,0.248,21,0.317
28861978000167,27996.650,0.240,4,0.060
7070684000228,27557.460,0.236,10,0.151
32336794000155,27465.110,0.235,22,0.332
39707427000160,27323.570,0.234,35,0.528
32336794000902,27253.960,0.233,21,0.317
8667022000111,26187.180,0.224,13,0.196
32336794001208,25878.840,0.222,13,0.196
23887274000140,25566.680,0.219,19,0.287
13065191000111,25559.020,0.219,12,0.181
16559614000490,25087.850,0.215,35,0.528
29113842000646,24689.850,0.211,18,0.272
11631749000234,24327.340,0.208,14,0.211
29113842000131,24096.280,0.206,17,0.257
22723307000153,23339.460,0.200,21,0.317
24261973000142,23208.880,0.199,20,0.302
32120263000120,23174.200,0.198,14,0.211
9432668000182,23179.150,0.198,11,0.166
32336794000660,23058.270,0.197,21,0.317
13967018000290,22735.550,0.195,17,0.257
32336794000406,22604.490,0.194,22,0.332
5943227000194,21947.930,0.188,22,0.332
16559614000571,21828.260,0.187,30,0.453
32336794000589,21822.190,0.187,22,0.332
5787892000136,21585.390,0.185,21,0.317
28843225000129,21569.830,0.185,16,0.241
69018190000170,21500.000,0.184,1,0.015
14519108000108,20517.240,0.176,27,0.407
4877523000171,20260.490,0.173,10,0.151
7221537000120,20227.070,0.173,21,0.317
12526735000213,20222.700,0.173,21,0.317
20548393000180,20035.100,0.172,8,0.121
5426493000220,19950.000,0.171,1,0.015
10482618000199,19647.840,0.168,10,0.151
39703863000403,19593.340,0.168,10,0.151
29773587000153,19523.480,0.167,17,0.257
18183953000106,19418.040,0.166,8,0.121
16559614000229,19279.720,0.165,30,0.453
7779025000184,19197.170,0.164,7,0.106
10481246000186,18876.540,0.162,15,0.226
29215555000132,18827.270,0.161,17,0.257
17875310000152,18467.420,0.158,22,0.332
5898316000166,18343.210,0.157,9,0.136
7715453000224,18285.730,0.157,24,0.362
3542276000190,18243.640,0.156,11,0.166
17290317000102,17959.480,0.154,8,0.121
7414757000170,17881.400,0.153,11,0.166
20216760000148,17697.810,0.152,17,0.257
8202709000181,17722.270,0.152,12,0.181
11161299000182,17793.900,0.152,13,0.196
30245542000195,17601.550,0.151,12,0.181
6978188000123,17538.060,0.150,14,0.211
28076453000110,17533.400,0.150,10,0.151
17516042000182,17468.940,0.150,8,0.121
8689466000239,17343.320,0.149,5,0.075
22469760000185,17252.250,0.148,7,0.106
5273676000415,17250.750,0.148,5,0.075
9567039000160,16707.600,0.143,7,0.106
12526735000132,16539.180,0.142,18,0.272
19036019000116,16513.880,0.141,14,0.211
22918167000330,16317.620,0.140,12,0.181
32336794000821,16228.140,0.139,21,0.317
26164948000176,16218.030,0.139,13,0.196
19426440000133,16142.710,0.138,22,0.332
28882587000129,15921.090,0.136,18,0.272
27050947000163,15769.890,0.135,14,0.211
27050947000678,15709.780,0.135,10,0.151
14568548000228,15632.180,0.134,2,0.030
22773132000199,14973.930,0.128,16,0.241
4974643000197,14812.680,0.127,9,0.136
8666702000110,14764.220,0.126,14,0.211
15315283000138,14730.990,0.126,22,0.332
3489753000109,14571.690,0.125,7,0.106
175479000105,14429.170,0.124,16,0.241
2165530000115,14447.250,0.124,1,0.015
8656302000124,14358.340,0.123,14,0.211
4055101000110,14357.850,0.123,12,0.181
3572400000160,14313.480,0.123,11,0.166
3017244000175,14186.350,0.121,9,0.136
13967018000109,13788.980,0.118,15,0.226
8343578000233,13748.050,0.118,9,0.136
26770002000153,13744.990,0.118,8,0.121
32336794001399,13514.440,0.116,5,0.075
5486954000170,13269.600,0.114,14,0.211
4904985000211,13182.700,0.113,17,0.257
10393316000144,12976.050,0.111,12,0.181
4795044000106,12820.140,0.110,8,0.121
32018491000194,12696.910,0.109,10,0.151
7539322000152,12594.920,0.108,24,0.362
5234808000157,12588.050,0.108,7,0.106
9722020000140,12499.500,0.107,4,0.060
8689466000158,12492.970,0.107,5,0.075
3494756000122,12516.110,0.107,20,0.302
1448324000150,12351.620,0.106,7,0.106
39621479000208,12374.580,0.106,16,0.241
26494046000106,11991.450,0.103,5,0.075
16787097000164,11915.510,0.102,11,0.166
803210000118,11911.610,0.102,10,0.151
6953093000236,11863.090,0.102,7,0.106
3572400000240,11833.440,0.101,10,0.151
26414785000132,11716.300,0.100,11,0.166
19863306000108,11395.190,0.098,16,0.241
15872124000134,11271.640,0.097,5,0.075
11876791000134,11378.520,0.097,12,0.181
3479374000120,11056.260,0.095,5,0.075
22918167000179,10993.160,0.094,9,0.136
16554104000188,10974.330,0.094,12,0.181
15246756000192,10963.600,0.094,9,0.136
22918167000683,10932.140,0.094,9,0.136
28581627000100,10788.340,0.092,17,0.257
2616090000175,10663.820,0.091,12,0.181
31970429000135,10569.450,0.091,10,0.151
22918167000250,10427.580,0.089,10,0.151
15541880000180,10154.500,0.087,7,0.106
11699310000162,10139.940,0.087,7,0.106
834279000290,9947.070,0.085,14,0.211
27833615001550,9803.440,0.084,11,0.166
13326139000171,9729.560,0.083,9,0.136
4129887000173,9691.670,0.083,12,0.181
814123000166,9583.200,0.082,4,0.060
12949057000110,9362.080,0.080,9,0.136
13390177000193,9353.340,0.080,9,0.136
8455029000170,9366.840,0.080,11,0.166
834279000109,9239.940,0.079,15,0.226
36570216000130,9159.540,0.078,6,0.091
5901292000157,9030.590,0.077,7,0.106
21786968000165,8991.830,0.077,5,0.075
17814749000175,8919.020,0.076,4,0.060
8681707000112,8859.610,0.076,8,0.121
36398790000152,8852.890,0.076,8,0.121
17712968000143,8790.820,0.075,8,0.121
25154767000287,8676.970,0.074,7,0.106
10575417000136,8589.070,0.074,2,0.030
10598245000116,8679.220,0.074,9,0.136
22597158000123,8455.880,0.072,9,0.136
28070379000125,8402.900,0.072,6,0.091
36472215000152,8349.840,0.072,11,0.166
5490561000130,8210.170,0.070,7,0.106
19190781000152,8189.770,0.070,12,0.181
11820069000188,8173.650,0.070,7,0.106
7970113000169,8166.230,0.070,6,0.091
27350851000110,8136.270,0.070,5,0.075
4007859000183,8000.000,0.069,4,0.060
13720747000166,8018.850,0.069,14,0.211
22918167000500,8109.380,0.069,7,0.106
27050947000597,7978.700,0.068,10,0.151
2898691000118,7840.890,0.067,8,0.121
3176931000133,7705.340,0.066,4,0.060
22918167000411,7465.320,0.064,6,0.091
