CNPJ;cliente;UF;cidade;bairro;LATITUDE;LONGITUDE;Valor
7394215000183;GILVERLAN BARBOSA SOUTO EPP;BA;NOVA VICOSA;VICOSA;-17,89;-39,37;184301,3617
23673682000107;ALINE FAVERO DO NASCIMENTO;BA;PRADO;SAO BRAS;-17,34;-39,22;157085,2382
9190998000109;SUPERMERCADO PAGANINI LTDA;ES;ANCHIETA;OLIVEIRA;-20,79;-40,65;111105,3093
31759699000444;COMERCIAL DEVENS LTDA;ES;ARACRUZ;COQUEIRAL;-19,82;-40,27;392874,5203
31759699000363;COMERCIAL DEVENS LTDA.;ES;ARACRUZ;CENTRO;-19,82;-40,27;392874,5203
9379562000162;COMERCIAL KINAO LTDA - EPP.;ES;ARACRUZ;GUARANA;-19,82;-40,27;392874,5203
9622180000118;KINKAS COMERCIO VAREJISTA LTDA.;ES;ARACRUZ;VILA NOVA;-19,82;-40,27;392874,5203
35994433000275;MERCADO HORTICAXIXE LTDA EPP;ES;ARACRUZ;BARRA DO RIACHO;-19,82;-40,27;392874,5203
39792205000192;SUPERMERCADO KINKAS LTDA;ES;ARACRUZ;CENTRO;-19,82;-40,27;392874,5203
8357136000165;SUPERMERCADO VALLIN LTDA;ES;ARACRUZ;BARRA DO SAHY;-19,82;-40,27;392874,5203
19190781000152;AUTO SERVICO BORGES CAPIXABA LTDA;ES;BOM JESUS DO NORTE;SAO SEBASTIAO;-21,11;-41,67;53606,74085
14476627000128;VP SUPERMERCADO LTDA EPP;ES;BOM JESUS DO NORTE;CENTRO;-21,11;-41,67;53606,74085
4048163000103;CAMPOS CEREAIS LTDA;ES;CACHOEIRO DE ITAPEMIRIM;SANTA HELENA;-20,84;-41,11;1022894,608
2328363000186;SCARPE CEREAIS LTDA;ES;CACHOEIRO DE ITAPEMIRIM;MONTE CRISTO;-20,84;-41,11;1022894,608
10293889000104;SUPERMERCADO MOLINAROLI LTDA - ME;ES;CACHOEIRO DE ITAPEMIRIM;BASILEIA;-20,84;-41,11;1022894,608
39379011000160;SUPERMERCADO RAQUEL LTDA - ME;ES;CACHOEIRO DE ITAPEMIRIM;RUI PINTO BANDEIRA;-20,84;-41,11;1022894,608
39790191000259;AUTO SERVICO COSTA PEREIRA LTDA;ES;CARIACICA;CAMPO GRANDE;-20,26;-40,42;1915915,661
36332252000165;AUTO SERVICO INTERNACIONAL LTDA.;ES;CARIACICA;PORTO DE SANTANA;-20,26;-40,42;1915915,661
