CNPJ,preco,cliente,UF,cidade,bairro
9309021000168,24.520000000000003,NF-E EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,RJ,ANGRA DOS REIS,VILA NOVA DE CAMPOS
42294744000106,115.58,CASA DE AVES NOVA BRASILIA LTDA - EPP,RJ,RIO DE JANEIRO,BONSUCESSO
27103140000141,129.93,ANDRADE E MEIRA PANIFICADORA LTDA - ME,RJ,ARMACAO DOS BUZIOS,CENTRO
2101672000119,134.91,COMERCIAL LESTE MINAS LTDA,MG,AIMORES,CENTRO
26098410000100,139.16,AUTO SERVICO CASA SHOW LTDA - ME,ES,VIANA,UNIVERSAL
35995646000130,162.0,SUPERMERCADO DOIS IRMAOS LTDA,ES,COLATINA,VILA NOVA
35994433000275,162.0,MERCADO HORTICAXIXE LTDA EPP,ES,ARACRUZ,BARRA DO RIACHO
9612750000199,162.73,PADARIA E MERCEARIA G&J LTDA - M,RJ,DUQUE DE CAXIAS,JARDIM IMBARIE
10572977000137,166.8,POSTO DAS PIZZAS EIRELI - ME,RJ,RIO DE JANEIRO,BONSUCESSO
24639414000123,167.0,LUCAS CIPRESTE DE VARGAS - ME,ES,PIUMA,JARDIM MAILY
39345244000141,167.0,G P SUPERMERCADO LTDA - ME,ES,PIUMA,NITEROI
15403844000150,168.92000000000002,ACOUGUE VITORIA LTDA - ME,RJ,QUEIMADOS,CENTRO
1848448000122,169.68,C R COSTA - ME,ES,CARIACICA,ITANGUA
32049702000156,171.06,MERCEARIA KNUPP LTDA - ME,RJ,NITEROI,SANTA BARBARA
13036147000183,177.76000000000005,MEGAFRIO COMERCIO E INDUSTRIA DE CARNES LTDA EPP,RJ,NOVA FRIBURGO,PAYSANDU
27807563000142,183.36,ANTONIO G AGOSTINHO DOS SANTOS MERCEARIA E ACOUGUE - ME,RJ,CABO FRIO,UNAMAR (TAMOIOS)
11177182000197,192.23,POP LAR DE MAUA LTDA ME,RJ,MAGE,CENTRO
26141670000111,199.03,FAVO DE MEL DE SAO JOSE LTDA,RJ,SAO JOSE DO VALE DO RIO PRETO,SANTA FE
11472138000100,205.54,SUPERMERCADO DOM BOSCO LTDA ME,ES,MARILANDIA,CENTRO
18623826000172,205.94999999999996,ACOUGUE  MERCEARIA E LATICINIOS MEUDON LTDA - ME.,RJ,TERESOPOLIS,MEUDON
4610631000183,211.68,MERCADO MAR DO NORTE LTDA ME,RJ,RIO DAS OSTRAS,MAR DO NORTE
14962390000195,212.94,HIPERMARKET LTDA - ME.,ES,IBIRACU,CENTRO
14476627000128,231.54000000000002,VP SUPERMERCADO LTDA EPP,ES,BOM JESUS DO NORTE,CENTRO
3306353000102,234.12000000000003,MT TAVARES COMERCIO VAREJISTA DE ALIMENTOS LTDA,RJ,SAO GONCALO,SETE PONTES
39191176000103,237.12,CASA DE QUEIJOS BALNEARIO S PEDRO ALDEIA LTDA ME,RJ,SAO PEDRO DA ALDEIA,BALNEARIO
26980890000139,242.89,AM DE OLIVEIRA COMERCIO DE CARNES E FRIOS - ME,RJ,NOVA IGUACU,AUSTIN
15152313000132,247.89000000000001,QUALITY 617 DIST C DE CARNES BEBIDAS EIRELI - ME,RJ,ITAPERUNA,MARECHAL CASTELO BRANCO
7138469000130,251.88,OLIVEIRA E SILVA SUPERMERCADO LTDA - ME,ES,ITAPEMIRIM,CAMPO ACIMA
27571983000172,257.53999999999996,SUPERMERCADOS GOBBO LTDA,ES,ITAGUACU,CENTRO
39792205000192,261.3,SUPERMERCADO KINKAS LTDA,ES,ARACRUZ,CENTRO
28390961000179,262.12,COMERCIAL DE CEREAIS GUANDUENSE LTDA,MG,AIMORES,CENTRO
11093843000104,263.0899999999999,MERCADO E ACOUGUE SATELITE LTDA - ME,RJ,TANGUA,DUQUES
12892415000287,264.96,FRISA COMERCIAL S/A.,ES,COLATINA,CENTRO
15111611000184,270.64,III CONCORDIA COMER E DISTRIBUICAO DE GENEROS ALIMENTICIOS L,RJ,CABO FRIO,TANGARA
36291144000191,276.7,JORGE DE OLIVEIRA MARTINS ME,RJ,MACAE,TRAPICHE
20657396000151,277.44,MERCADO CASTANHA LTDA,RJ,DUQUE DE CAXIAS,JARDIM BALNEARIO ANA CLARA
25034941000177,281.28,VG MINIMERCADO DOS PESCADOS EIRELI,RJ,NITEROI,CENTRO
25367530000101,283.07,DISCAPEL RIO DAS OSTRAS LTDA - ME,RJ,RIO DAS OSTRAS,CENTRO
39508023000813,288.65999999999997,TERE FRUTAS COMERCIO DE ALIMENTOS E PANIFICACAO LTDA.,RJ,TERESOPOLIS,VARZEA
13508821000185,297.06,MARINI & MELLO LTDA - ME,ES,ITAPEMIRIM,ITAIPAVA
17359233000188,298.02,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A,MG,CONTAGEM,TAPERA
39217583000142,304.0,CRUZ   GOUVEA & CIA LTDA,RJ,PORCIUNCULA,CENTRO
4630798000106,313.0,SUPERMERCADO GARBOS LTDA - ME,ES,VILA VELHA,ARACAS
8357136000165,319.14,SUPERMERCADO VALLIN LTDA,ES,ARACRUZ,BARRA DO SAHY
13036147000426,322.08000000000004,MEGAFRIO COMERCIO E INDUSTRIA DE CARNES LTDA - EPP,RJ,NOVA FRIBURGO,CENTRO
39638580000182,324.36,ADRIANO JOVITA BARROS EPP,ES,LINHARES,BEBEDOURO
28094587000164,331.51000000000005,MINIMERCADO TEM TUDO SABARA LTDA,RJ,DUQUE DE CAXIAS,JARFIM PRIMAVERA
17024368000192,333.6,VILMA DE FATIMA REZENDE SOBREIRA - ME,ES,MARATAIZES,BARRA DO ITAPEMIRIM
7778851000109,336.46000000000004,VIEIRA REDER COMERCIO DE HORTIFRUTIGRANJEIROS LTDA,RJ,NOVA FRIBURGO,CENTRO
1704374000150,338.82000000000005,D. S. COUTINHO EIRELI - ME,ES,ITAPEMIRIM,CENTRO
11801408000189,346.8900000000001,PASSARELA FOOD LTDA ME,RJ,SAO GONCALO,COLUBANDE
1257874000191,356.12,QUEM SABE E NOS MERCEARIA E AVIARIO LTDA - ME,RJ,MESQUITA,SANTA TEREZINHA
18538019000151,360.72,CARDOSO E COSTA DISTRIBUIDORA LTDA,RJ,CABO FRIO,PARQUE BURLE
8929445000162,364.8,ECOREAL SUPERMERCADOS LTDA - ME,ES,VILA VELHA,TERRA VERMELHA
10794037000192,369.21000000000004,CARLOS VINICIUS BR PAIXAO ME,RJ,RIO DAS OSTRAS,JARDIM MARILEIA
24402991000105,369.34000000000003,S VIEIRA E CIA LTDA - ME,RJ,MACAE,IMBURO
2075715000139,369.5,CASA NATHALIA DAS CARNES LTDA - ME,RJ,BELFORD ROXO,VILAR NOVO
27547678000145,372.96000000000004,IPAMAR COMERCIAL LTDA,ES,CARIACICA,NOVA BRASILIA
72155534000106,377.22999999999996,P M LUCAS MERCEARIA LTDA ME,RJ,ANGRA DOS REIS,JACUECANGA
39281142000100,388.40999999999997,SUPERMERCADO POPULAR LTDA - EPP,ES,SANTA TERESA,VILA NOVA
13952377000192,415.25999999999993,R DE JESUS COMERCIO E SERVICOS DE MACAE ME,RJ,MACAE,AJUDA
39267802000106,419.53999999999996,JOAO PAGUNG ACOUGUE .,ES,PANCAS,CENTRO
27365336000104,420.14,R&M CAMPOS ALIMENTOS LTDA - ME,RJ,SAO JOAO DE MERITI,VILAR DOS TELES
20994900000109,422.23,BIG REI COMERCIO DE CARNES E DERIVADOS LTDA - EPP,RJ,RIO DE JANEIRO,SANTA CRUZ
1872160000193,431.01,SUPERMERCADO CASALI LTDA EPP.,ES,MARILANDIA,CENTRO
