Mês,2014,2015,2016,2017,2018
Jan,0.00,167359.14,215603.05,223066.16,440912.50
Fev,0.00,187427.98,230846.22,419094.69,243182.04
Mar,0.00,232049.37,283184.44,367971.45,
Abr,0.00,122549.58,266678.23,330764.78,
Mai,0.00,158585.94,198344.71,408940.00,
Jun,0.00,161137.81,256762.57,360857.82,
Jul,0.00,225357.45,207020.66,354151.95,
Ago,25.15,171335.69,297127.17,354449.32,
Set,30659.84,210564.28,326441.15,359574.77,
Out,166108.11,218276.49,260436.19,340063.38,
Nov,202230.11,93276.86,402559.04,553964.42,
Dez,261422.34,200293.94,480411.46,686666.72,
