cod,descricao
000001,BLISTER
010001,ACAFRAO 15GR
010002,ALECRIM 15GR
010003,ALFAVACA MOIDA  15GR
010004,ALHO FRITO 30GR
010005,BICARBONATO DE  SODIO 30GR
010006,BICARBONATO DE  SODIO 100GR
010007,CALDO DE BACON  COM ERVAS FINAS  60GR
010008,CALDO DE  CAMARAO COM  ERVAS FINAS 60GR
010009,CALDO DE CARNE  COM ERVAS FINAS  60GR
010010,CALDO DE  GALINHA COM  ERVAS FINAS 60GR
010011,CALDO DE PEIXE  COM ERVAS FINAS  60GR
010012,CANELA EM CASCA  10GR
010013,CANELA EM PO  10GR
010014,CEBOLINHA VERDE  DESIDRATADA 6GR
010015,CHIMI CHURRI  10GR
010016,COENTRO  DESIDRATADO 6GR
010017,COENTRO MOIDO  10GR
010018,COMINHO MOIDO  10GR
010019,CRAVO DA INDIA  10GR
010020,CURRY 15GR
010021,ERVAS FINAS 10GR
010022,ERVA DOCE 10GR
010023,LOURO EM FOLHAS  5GR
010024,LOURO EM FOLHAS  10GR
010025,LOURO EM PO  10GR
010026,LEMON PEPPER  20GR
010027,MANJERICAO 10GR
010028,NOZ MOSCADA  MOIDA 5GR
010029,NOZ MOSCADA  BOLA 7 GR
010030,OREGANO 5GR
010031,OREGANO 20GR
010032,PIMENTA  CALABRESA EM  FLOCOS 15GR
010033,PIMENTA DO  REINO EM GRAOS  20GR
010034,PIMENTA DO  REINO MOIDA  20GR
010035,PIMENTA DO  REINO MOIDA  BRANCA 20GR
010036,PIMENTA COM  COMINHO MOIDO  20GR
010037,SALSA  DESIDRATADA  20GR
010038,TEMPERO  COMPLETO COM  ERVAS FINAS 60GR
010039,TEMPERO BAIANO  20GR
010040,TEMPERO MISTO  20GR
010041,COLORIFICO  EXTRA 60GR
010042,COLORIFICO  EXTRA 100GR
010043,COLORIFICO  EXTRA 200GR
010044,CONFEITO  CHOCOLATE  GRANULADO 100GR
010045,CONFEITO  CHOCOLATE  REDONDO 100GR
010046,CONFEITO  COLORIDO  GRANULADO 100GR
010047,CONFEITO  PRATEADO  REDONDO 100GR
010048,UVA PASSAS 100GR
010049,UVA PASSAS 50GR
010051,ACAFRAO 15GR FD  36 UNID
010052,ALECRIM 15GR FD  36 UNID
010053,ALFAVACA MOIDA  15GR FD 36 UNID
010054,ALHO FRITO 30GR  FD 36 UNID
010055,BICARBONATO DE  SODIO 30GR FD 36  UNID
010056,BICARBONATO DE  SODIO 100GR FD  36 UNID
010057,CALDO DE BACON  COM ERVAS FINAS  60GR FD 36 UNID
010058,CALDO DE  CAMARAO COM  ERVAS FINAS 60GR  FD 36 UNID
010059,CALDO DE CARNE  COM ERVAS FINAS  60GR FD 36 UNID
010060,CALDO DE  GALINHA COM  ERVAS FINAS 60GR  FD 36 UNID
010061,CALDO DE PEIXE  COM ERVAS FINAS  60GR FD 36 UNID
010062,CANELA EM CASCA  10GR FD 50 UNID
010063,CANELA EM PO  10GR FD 36 UNID
010064,CEBOLINHA VERDE  DESIDRATADA 6GR  FD 36 UNID
010065,CHIMI CHURRI  10GR FD 36 UNID
010066,COENTRO  DESIDRATADO  6GR FD 36 UNID
010067,COENTRO MOIDO  10GR FD 36 UNID
010068,COMINHO MOIDO  10GR FD 36 UND
010069,CRAVO DA INDIA  10GR FD 50 UNID
010070,CURRY 15GR FD 36  UNID
010071,ERVAS FINAS 10GR  FD 36 UNID
010072,ERVA DOCE 10GR  FD 36 UNID
010073,LOURO EM FOLHAS  5GR FD 36 UNID
010074,LOURO EM FOLHAS  10GR FD 36 UNID
010075,LOURO EM PO  10GR FD 36 UNID
010076,LEMON PEPPER  20GR FD 36 UNID
010077,MANJERICAO  10GR FD 36 UNID
010078,NOZ MOSCADA  MOIDA 5GR FD 36  UNID
010079,NOZ MOSCADA  BOLA 7 GR FD 36  UNID
010080,OREGANO 5GR FD  100 UNID
010081,OREGANO 20GR  FD 50 UNID
010082,PIMENTA  CALABRESA EM  FLOCOS 15GR FD  36 UNID
010083,PIMENTA DO  REINO EM GRAOS  20GR FD 36 UNID
010084,PIMENTA DO  REINO MOIDA  20GR FD 36 UNID
010085,PIMENTA DO  REINO MOIDA  BRANCA 20GR FD  36 UNID
010086,PIMENTA COM  COMINHO MOIDO  20GR FD 36 UNID
010087,SALSA  DESIDRATADA  20GR FD 36 UNID
010088,TEMPERO  COMPLETO COM  ERVAS FINAS 60GR  FD 36 UNID
010089,TEMPERO BAIANO  20GR FD 36 UNID
010090,TEMPERO MISTO  20GR FD 36 UNID
010091,COLORIFICO  EXTRA 60GR FD  100 UNID
010092,COLORIFICO  EXTRA 100GR FD  100 UNID
010093,COLORIFICO  EXTRA 200GR FD  100 UNID
010094,CONFEITO  CHOCOLATE  GRANULADO  100GR FD 24 UNID
010095,CONFEITO  CHOCOLATE  REDONDO 100GR  FD 24 UNID
010096,CONFEITO  COLORIDO  GRANULADO  100GR FD 24 UNID
010097,CONFEITO  PRATEADO  REDONDO 100GR  FD 24 UNID
010098,UVA PASSAS  100GR FD 24 UNID
010099,UVA PASSAS 50GR  FD 24 UNID
010100,GERGELIM EM  GRAOS 30GR
010101,CALDO DE  BACALHAU C/  ERVAS FINAS 60GR
010102,AMACIANTE DE  CARNE C/ ERVAS  FINAS 60GR
010103,PAPRICA DOCE EM  PO 20GR
010104,CRAVO DA INDIA  EM PO 10G
010105,TOMILHO 10GR
010106,MANJERONA 6GR
010107,HORTELA 6GR
010108,GERGELIM EM  GRAOS 30GR FD  36 UNID
010109,CALDO DE  BACALHAU C/  ERVAS FINAS 60GR  FD 36 UNID
010110,AMACIANTE DE  CARNE C/ ERVAS  FINAS 60GR FD 36  UNID
010111,PAPRICA DOCE EM  PO 20GR FD 36  UNID
010112,CRAVO DA INDIA  EM PO 10G FD 36  UNID
010113,TOMILHO 10GR FD  36 UNID
010114,MANJERONA 6GR  FD 36 UNID
010115,HORTELA 6GR FD  36 UNID
010117,GENGIBRE EM PÓ  20GR
010118,ALHO EM FLOCOS  20GR
010119,GENGIBRE EM PÓ  20GR FD 36 UNID
010120,ALHO EM FLOCOS  20GR FD 36 UNID
010123,SALSA  DESIDRATADA 6G
010124,SALSA  DESIDRATADA 6G  FD 36 UNID
010131,COENTRO  DESIDRATADO 10G
000002,TEMPEROS
020001,ALHO FRITO 100GR
020002,ALHO E CEBOLA  PICADINHO S/SAL  180GR
020003,ALHO PICADINHO  C/ERVAS FINAS  S/SAL 180GR
020004,ALHO PICADINHO  S/SAL 180GR
020005,ALHO PICADINHO  S/SAL 1.010KG
020006,COLORIFICO DA  ROCA 150GR
020007,COLORIFICO  NORDESTINO  200GR
020008,COLORIFICO  EXTRA S/SAL  500GR
020009,CREME P/PAO DE  ALHO  TRADICIONAL  200GR
020010,CREME P/PAO DE  ALHO PICANTE  200GR
020011,EMPANA  CAMARAO E  LEGUMES 250GR
020012,EMPANA PRATICO  CARNE 250GR
020013,EMPANA PRATICO  FRANGO 250GR
020014,EMPANA PRATICO  PEIXE 250GR
020015,EMPANA PRATICO  CARNE 500GR
020016,EMPANA PRATICO  FRANGO 500GR
020017,EMPANA PRATICO  PEIXE 500GR
020018,EMPANA TUDO  500GR
020019,OREGANO 100GR
020020,ALHO E SAL 300GR
020021,TEMPERO  COMPLETO BACON  C/PIMENTA 300GR
020022,TEMPERO  COMPLETO  C/OREGANO 300GR
020023,TEMPERO  COMPLETO GRILL  300GR
020024,TEMPERO  COMPLETO  NATURAL  S/PIMENTA 300GR
020025,TEMPERO  COMPLETO BACON  C/PIMENTA 340GR
020026,TEMPERO  COMPLETO  NATURAL 340GR
020027,TEMPERO  COMPLETO  PICANTE 340GR
020028,PASTA DE ALHO  C/SAL 380GR
020029,REFOGA  (OREGANO) 380GR
020030,REFOGA  (SALSA/CEBOLINHA 380GR
020031,TEMPERO  COMPLETO  C/PASTA DE ALHO  380GR
020032,SAL GROSSO  C/ALHO 500GR
020033,SAL GROSSO  C/ERVAS FINAS  500GR
020034,TEMPERO  COMPLETO P/  CHURRASCO  500GR
020035,CANELA EM PO  20GR (TUBO)
020036,CANELA EM PO  40GR (TUBO)
020037,PIMENTA DO  REINO EM PO  20GR (TUBO)
020038,PIMENTA DO  REINO EM PO  40GR (TUBO)
020039,ALHO EM PASTA S/  SAL 200G
020041,ALHO FRITO  100GR CX 24 UNID
020042,ALHO E CEBOLA  PICADINHO S/SAL  180GR CX 36 UNID
020043,ALHO PICADINHO  C/ERVAS FINAS  S/SAL 180GR CX 36  UNID
020044,ALHO PICADINHO  S/SAL 180GR CX 36  UNID
020045,ALHO PICADINHO  S/SAL 1.010KG CX  12 UNID
020046,COLORIFICO DA  ROCA 150GR CX  36 UNID
020047,COLORIFICO  NORDESTINO  200GR FD 50 UNID
020048,COLORIFICO  EXTRA S/SAL  500GR FD 30 UNID
020049,CREME P/PAO DE  ALHO  TRADICIONAL  200GR CX 36 UNID
020050,CREME P/PAO DE  ALHO PICANTE  200GR CX 36 UNID
020051,EMPANA  CAMARAO E  LEGUMES 250GR  FD 50 UNID
020052,EMPANA PRATICO  CARNE 250GR FD  50 UNID
020053,EMPANA PRATICO  FRANGO 250GR FD  50 UNID
020054,EMPANA PRATICO  PEIXE 250GR FD 50  UNID
020055,EMPANA PRATICO  CARNE 500GR FD  40 UNID
020056,EMPANA PRATICO  FRANGO 500GR FD  40 UNID
020057,EMPANA PRATICO  PEIXE 500GR FD 40  UNID
020058,EMPANA TUDO  500GR FD 40 UNID
020059,OREGANO 100GR  FD 24 UNID
020060,ALHO E SAL 300GR  CX 24 UNID
