Mês,Valor
2014-08-01,"25,15"
2014-09-01,"30659,84"
2014-10-01,"166108,11"
2014-11-01,"202230,11"
2014-12-01,"261422,34"
2015-01-01,"167359,14"
2015-02-01,"187427,98"
2015-03-01,"232049,37"
2015-04-01,"122549,58"
2015-05-01,"158585,94"
2015-06-01,"161137,81"
2015-07-01,"225357,45"
2015-08-01,"171335,69"
2015-09-01,"210564,28"
2015-10-01,"218276,49"
2015-11-01,"93276,86"
2015-12-01,"200293,94"
2016-01-01,"215603,05"
2016-02-01,"230846,22"
2016-03-01,"283184,44"
2016-04-01,"266678,23"
2016-05-01,"198344,71"
2016-06-01,"256762,57"
2016-07-01,"207020,66"
2016-08-01,"297127,17"
2016-09-01,"326441,15"
2016-10-01,"260436,19"
2016-11-01,"402559,04"
2016-12-01,"480411,46"
2017-01-01,"223066,16"
2017-02-01,"419094,69"
2017-03-01,"367971,45"
2017-04-01,"330764,78"
2017-05-01,"408940,00"
2017-06-01,"360857,82"
2017-07-01,"354151,95"
2017-08-01,"354449,32"
2017-09-01,"359574,77"
2017-10-01,"340063,38"
2017-11-01,"553964,42"
2017-12-01,"686666,72"
2018-01-01,"440912,50"
2018-02-01,"243182,04"
